Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-07-19 00:00:00-04:00,33.86762821669601,34.148483625674906,33.8579413817117,34.01289749145508,45599800,0.0,0.0,0.0
2023-07-20 00:00:00-04:00,33.95478963856797,34.274384983338756,33.945102804046044,34.26470184326172,45591500,0.0,0.0,0.0
2023-07-21 00:00:00-04:00,34.32281319402201,34.34218317151123,34.06132403958568,34.14848709106445,30615700,0.0,0.0,0.0
2023-07-24 00:00:00-04:00,34.167855705760196,34.584300969054844,34.15817256462453,34.47776794433594,32299800,0.0,0.0,0.0
2023-07-25 00:00:00-04:00,34.38091931942002,34.4583992207974,34.2259632111103,34.2550163269043,36218600,0.0,0.0,0.0
2023-07-26 00:00:00-04:00,34.21627777770958,34.56492622720854,34.16785099537144,34.458396911621094,35638700,0.0,0.0,0.0
2023-07-27 00:00:00-04:00,34.45839820408878,34.545557548899104,33.9741599181029,34.0225830078125,44072800,0.0,0.0,0.0
2023-07-28 00:00:00-04:00,34.293753173961896,34.303436313535215,33.90636109102457,34.09037399291992,32422700,0.0,0.0,0.0
2023-07-31 00:00:00-04:00,34.15817196174482,34.32281121926254,34.07100891528096,34.21628189086914,28627000,0.0,0.0,0.0
2023-08-01 00:00:00-04:00,34.14848512633482,34.245335008208684,34.03226896253142,34.21628189086914,26480300,0.0,0.0,0.0
2023-08-02 00:00:00-04:00,33.92573547363281,34.051638471116604,33.73204310143643,33.92573547363281,48923800,0.0,0.0,0.0
2023-08-03 00:00:00-04:00,33.72235352616711,34.022582589789735,33.62550734793782,33.94510269165039,31861600,0.0,0.0,0.0
2023-08-04 00:00:00-04:00,33.91604992053629,34.245332102073334,33.78046379186425,33.80951690673828,36195700,0.0,0.0,0.0
2023-08-07 00:00:00-04:00,34.02258375248741,34.34217910712192,34.01289691766651,34.28407287597656,33119300,0.0,0.0,0.0
2023-08-08 00:00:00-04:00,33.8385732194892,34.00321617303958,33.57708407757642,33.97416305541992,37254800,0.0,0.0,0.0
2023-08-09 00:00:00-04:00,33.954790898282084,34.05163708042502,33.68361493828083,33.722354888916016,38304200,0.0,0.0,0.0
2023-08-10 00:00:00-04:00,33.89668058930891,34.14848287670226,33.66424458256928,33.751407623291016,38097500,0.0,0.0,0.0
2023-08-11 00:00:00-04:00,33.644880027158315,33.87731235137162,33.567400122790424,33.8192024230957,27518700,0.0,0.0,0.0
2023-08-14 00:00:00-04:00,33.72235450786543,33.81920068891404,33.59645151694626,33.751407623291016,23773800,0.0,0.0,0.0
2023-08-15 00:00:00-04:00,33.4705493462348,33.50928559866082,33.092840405912504,33.1315803527832,57472100,0.0,0.0,0.0
