Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Histogram,ATR_14,HV_20,OBV,VWAP,Volume_ROC,Volume_SMA_20,Volume_Ratio,Supertrend,Supertrend_Direction
2023-07-19 00:00:00-04:00,191.18579595006162,196.26493172677777,190.74024473686075,193.1659698486328,80507300,0.0,0.0,,193.1659698486328,,193.1659698486328,,193.1659698486328,,193.1659698486328,,193.1659698486328,,0.0,0.0,0.0,,,80507300.0,193.39038210409043,,,,,1.0
2023-07-20 00:00:00-04:00,193.1560618639693,194.52238670645607,190.5917402572243,191.2154998779297,59581200,0.0,0.0,,191.99568786621094,,192.09321136474608,,192.1419731140137,,192.1712301635742,,192.1858586883545,,-0.043760544214507036,-0.024311413452503906,-0.01944913076200313,,,20926100.0,192.8457684256292,,,,,1.0
2023-07-21 00:00:00-04:00,192.17589935868594,193.03727024392953,189.33433929774543,190.0373077392578,71951700,0.0,0.0,,191.06803412186468,,191.266751767789,,191.36915260588103,,191.4312845262396,,191.4625013255454,,-0.09229528694226019,-0.05217365668601058,-0.04012163025624961,,,-51025600.0,192.15258550627624,,,,,1.0
2023-07-24 00:00:00-04:00,191.4927249435582,192.9778554020486,190.34422042985216,190.83926391601562,45377800,0.0,0.0,,190.97300649789662,,191.12591356711812,,191.21618193390958,,191.2742830748865,,191.3043470815557,,-0.08315359392227606,-0.06266821537038235,-0.02048537855189371,,,-5647800.0,192.01764759601988,,,,,1.0
2023-07-25 00:00:00-04:00,191.41353447405788,192.51253172271785,191.0075951507849,191.70065307617188,37283200,0.0,0.0,191.39173889160156,191.25234001846675,,191.29090564868625,,191.3333713804629,,191.3665126085983,,191.3852013905918,,-0.04215888510714194,-0.05656715329778585,0.014408268190643905,,,31635400.0,191.98255477031927,,,,,1.0
2023-07-26 00:00:00-04:00,191.75011029173345,193.70058251208815,191.4035889734502,192.57188415527344,47471900,0.0,0.0,191.27292175292968,191.734519304548,,191.62362001417404,,191.59464100390102,,191.58802182510271,,191.58795915924355,,0.020531292379217803,-0.03566918792866135,0.05620048030787915,,,79107300.0,192.06248509444634,,,,,1.0
2023-07-27 00:00:00-04:00,194.07685782549473,195.24515323301043,190.6412547294524,191.3046112060547,47460200,0.0,0.0,191.29074401855468,191.58230803509605,,191.54675170630932,,191.5398035478908,,191.5425176569397,,191.5462564638303,,0.0029718694386531297,-0.02589016715860112,0.02886203659725425,,,31647100.0,192.10323224713525,,,,,1.0
2023-07-28 00:00:00-04:00,192.74022840055838,194.68080550669023,192.21548351570434,193.88873291015625,48291400,0.0,0.0,192.06102905273437,192.38233201634216,,192.07956371683036,,191.94582779103519,,191.87845962248343,,191.84941631225698,,0.11405028714793275,0.00774015559208548,0.10631013155584727,,,79938500.0,192.2677352000673,,,,,1.0
2023-07-31 00:00:00-04:00,194.11644542830032,194.54219067365466,193.32437284504627,194.50257873535156,38824100,0.0,0.0,192.79369201660157,193.10795606951731,,192.6067269932259,,192.35594314440613,,192.21880753619016,,192.1561408318955,,0.2196898047575928,0.05670157603694931,0.1629882287206435,,,118762600.0,192.41882278976007,,,,,1.0
2023-08-01 00:00:00-04:00,194.29467332466547,194.77980627337752,193.34418318178373,193.67091369628906,35175100,0.0,0.0,193.187744140625,193.29892022234367,192.28974151611328,192.83026597090551,,192.55396631551793,,192.3915179577441,,192.31452501053442,,0.2485928863389688,0.09969636881987755,0.14889651751909128,,,83587500.0,192.52277046460415,,,,184.85121259222274,1.0
2023-08-02 00:00:00-04:00,193.10656507331342,193.24517665133837,189.94820018063527,190.67095947265625,50389300,0.0,0.0,192.80755920410155,192.41268755220685,192.0402404785156,192.38914664883725,,192.28527474963772,,192.2019881205357,,192.1575277344067,,0.10616812497423211,0.10111235208724936,0.005055772886982751,,,33198200.0,192.4121318193549,-0.37410272111969967,,,182.92649832290792,1.0
2023-08-03 00:00:00-04:00,189.67097673188036,190.46303425792703,188.79969532419432,189.27493286132812,61235200,0.0,0.0,192.40162353515626,191.35864545410203,191.84618377685547,191.76693243373668,,191.87518142911216,,191.90091373758221,,191.90388056554852,,-0.07638005315084229,0.06299442718616648,-0.13937448033700878,,,-28037000.0,192.12738051755989,0.027760434499473075,,,181.5789893882127,1.0
2023-08-04 00:00:00-04:00,183.6809340478131,185.5224963676216,180.11661500704574,180.18592834472656,115956800,0.0,0.0,189.66106262207032,187.61517158383307,190.86104583740234,189.49393743509341,,190.34547865889573,,190.76802159701,,190.94743052814871,,-0.7241707446104613,-0.10359707167762774,-0.6205736729328335,,,-143993800.0,190.53022981649562,0.6115922208926265,,,192.5085471626111,-1.0
2023-08-07 00:00:00-04:00,180.32454086912372,181.31462781819698,175.5919264611557,177.07705688476562,97576100,0.0,0.0,186.17595825195312,184.09039259817328,189.48482513427734,187.0916019064175,,188.6688509396673,,189.51601946117412,,189.89101034717743,20.804760715458528,-1.3798235269777592,-0.3705845983390704,-1.009238928638689,3.655543142378497,,-241569900.0,189.06898105787008,1.1503047745814032,,,188.97691472322893,-1.0
2023-08-08 00:00:00-04:00,177.9087289898081,178.48298124186843,175.81964489133262,178.01763916015625,67823000,0.0,0.0,183.04530334472656,182.06150817349155,188.11652374267578,185.35625763469838,,187.36356569075392,,188.5167184427984,,189.04284918678437,23.41892910061523,-1.800863316673258,-0.6670720674383738,-1.1337912492348843,3.4511609538512675,,-173746900.0,188.19739012319982,0.8191303321603296,,,187.9719712133032,-1.0
2023-08-09 00:00:00-04:00,179.07702506576103,179.13642786663587,175.25528876502239,176.42359924316406,60378500,0.0,0.0,180.19583129882812,180.17933971034336,186.50169525146484,183.66388960137806,,186.0585344655133,,187.51357221321427,,188.193620667551,23.715580061841735,-2.1943888115377774,-0.9813824675123277,-1.2130063440254497,3.4476247147356753,,-234125400.0,187.49314199711944,0.2718787324712093,,,188.49176013142446,-1.0
2023-08-10 00:00:00-04:00,177.70080592181807,178.95822060931928,175.8394526832055,176.20578002929688,54686900,0.0,0.0,177.58200073242188,178.85347411714375,184.99181213378907,182.26160129585358,,184.91080243931452,,186.61487579324418,,187.43063768522046,24.55361027845916,-2.480754316727314,-1.2881649650636036,-1.1925893516637103,3.4058987847306526,,-288812300.0,186.9306013092991,0.15226863772171217,,,188.24919928862445,-1.0
